證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","4,967,165","417,187,216","83.70","84.40","83.60","84.30","+0.25","2,672"
"0051","元大中型100","27,216","916,206","33.44","33.92","33.44","33.92","+0.31","17"
"0052","富邦科技","170,919","10,843,734","63.20","63.80","63.00","63.50"," 0.00","31"
"0053","元大電子","7,000","271,020","38.70","38.87","38.60","38.87","+0.14","7"
"0054","元大台商50","5,000","113,780","22.76","22.76","22.74","22.74","-0.04","3"
"0055","元大MSCI金融","77,000","1,305,910","17.00","17.02","16.92","16.99","-0.06","42"
"0056","元大高股息","16,134,554","445,649,769","27.50","27.77","27.47","27.75","+0.20","6,073"
"0057","富邦摩台","43,000","2,383,050","55.25","55.60","55.25","55.60","+0.30","8"
"0061","元大寶滬深","328,959","5,762,366","17.50","17.60","17.45","17.55","+0.01","89"
"006203","元大MSCI台灣","2,000","78,560","39.33","39.33","39.23","39.23","-0.27","2"
"006204","永豐臺灣加權","30,005","1,626,272","54.00","54.30","54.00","54.30","+0.15","4"
"006205","富邦上証","1,521,948","44,203,150","28.88","29.10","28.88","29.05","-0.10","154"
"006206","元大上證50","275,291","8,388,977","30.68","30.68","30.40","30.50","+0.03","62"
"006207","FH滬深","79,000","1,796,880","22.71","22.84","22.70","22.84","+0.01","34"
"006208","富邦台50","897,462","43,184,798","47.80","48.31","47.80","48.25","+0.15","307"
"00625K","富邦上証+R","57,000","399,140","7.02","7.02","7.00","7.00","-0.01","8"
"00631L","元大台灣50正2","7,278,300","319,116,287","43.38","44.29","43.38","44.20","+0.41","2,096"
"00632R","元大台灣50反1","102,372,686","1,059,277,352","10.40","10.40","10.28","10.30","-0.03","6,882"
"00633L","富邦上証正2","11,862,000","496,086,150","41.85","42.06","41.56","41.98","-0.24","1,572"
"00634R","富邦上証反1","1,197,000","6,866,170","5.73","5.75","5.72","5.72"," 0.00","127"
"00635U","元大S&P黃金","1,286,499","31,096,655","24.22","24.22","24.13","24.18"," 0.00","515"
"00636","國泰中國A50","1,830,752","37,045,283","20.35","20.35","20.19","20.29","-0.08","260"
"00636K","國泰中國A50+U","100","677","6.77","6.77","6.77","6.77","-0.01","1"
"00637L","元大滬深300正2","50,104,100","809,537,972","16.16","16.23","16.05","16.22","-0.08","4,861"
"00638R","元大滬深300反1","1,064,001","12,298,201","11.63","11.63","11.52","11.53","+0.03","114"
"00639","富邦深100","1,453,492","16,480,645","11.30","11.37","11.28","11.37","+0.03","190"
"00640L","富邦日本正2","949,000","15,553,450","16.31","16.51","16.26","16.47","-0.10","172"
"00641R","富邦日本反1","358,200","5,376,938","15.04","15.08","14.96","14.99","+0.06","98"
"00642U","元大S&P石油","46,195,212","437,554,192","9.34","9.55","9.34","9.48","+0.11","11,047"
"00643","群益深証中小","1,059,625","14,410,193","13.60","13.65","13.55","13.65","+0.05","336"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00645","富邦日本","65,048","1,241,693","19.05","19.10","19.05","19.10","+0.04","8"
"00646","元大S&P500","1,073,208","28,023,124","26.06","26.28","26.02","26.24","-0.38","502"
"00647L","元大S&P500正2","2,222,000","66,915,520","30.10","30.49","29.91","30.44","-1.21","695"
"00648R","元大S&P500反1","3,502,000","40,488,510","11.57","11.61","11.51","11.51","+0.20","700"
"00650L","FH香港正2","255,000","5,509,400","21.61","21.90","21.30","21.81","+0.12","109"
"00651R","FH香港反1","865,000","7,780,540","9.25","9.25","8.92","8.92","-0.03","94"
"00652","富邦印度","741,630","12,924,842","17.15","17.62","17.15","17.40","+0.44","329"
"00653L","富邦印度正2","35,004,000","557,851,360","15.69","16.33","15.58","15.99","+1.03","4,933"
"00654R","富邦印度反1","1,087,000","17,209,640","16.12","16.12","15.65","15.83","-0.56","534"
"00655L","國泰中國A50正2","3,299,000","100,514,040","30.48","30.60","30.22","30.53","-0.18","720"
"00656R","國泰中國A50反1","249,000","2,606,690","10.47","10.51","10.45","10.46","+0.02","26"
"00657","國泰日經225","101,000","2,553,290","25.28","25.29","25.28","25.29","-0.08","3"
"00657K","國泰日經225+U","100","847","8.47","8.47","8.47","8.47","-0.01","1"
"00660","元大歐洲50","34,000","684,950","20.17","20.28","20.09","20.23","-0.29","20"
"00661","元大日經225","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
