stock_code,chinese_name,ISIN_code,listing_date,stock_type
1101,台泥,TW0001101004,1962/2/9,水泥工業
1102,亞泥,TW0001102002,1962/6/8,水泥工業
1103,嘉泥,TW0001103000,1969/11/14,水泥工業
1104,環泥,TW0001104008,1971/2/1,水泥工業
1108,幸福,TW0001108009,1990/6/6,水泥工業
1109,信大,TW0001109007,1991/12/5,水泥工業
1110,東泥,TW0001110005,1994/10/22,水泥工業
1201,味全,TW0001201002,1962/2/9,食品工業
1203,味王,TW0001203008,1964/8/24,食品工業
1210,大成,TW0001210003,1978/5/20,食品工業
1213,大飲,TW0001213007,1981/4/10,食品工業
1215,卜蜂,TW0001215002,1987/7/27,食品工業
1216,統一,TW0001216000,1987/12/28,食品工業
1217,愛之味,TW0001217008,1989/10/28,食品工業
1218,泰山,TW0001218006,1989/11/11,食品工業
1219,福壽,TW0001219004,1990/12/1,食品工業
1220,台榮,TW0001220002,1991/11/20,食品工業
1225,福懋油,TW0001225001,1993/9/27,食品工業
1227,佳格,TW0001227007,1994/4/9,食品工業
1229,聯華,TW0001229003,1976/7/19,食品工業
1231,聯華食,TW0001231009,1995/11/2,食品工業
1232,大統益,TW0001232007,1996/2/9,食品工業
1233,天仁,TW0001233005,1999/1/20,食品工業
1234,黑松,TW0001234003,1999/3/12,食品工業
1235,興泰,TW0001235000,2000/9/11,食品工業
1236,宏亞,TW0001236008,2001/9/17,食品工業
1256,鮮活果汁-KY,KYG858681003,2016/3/17,食品工業
1301,台塑,TW0001301000,1964/7/27,塑膠工業
1303,南亞,TW0001303006,1967/11/5,塑膠工業
1304,台聚,TW0001304004,1972/5/20,塑膠工業
1305,華夏,TW0001305001,1973/3/5,塑膠工業
1307,三芳,TW0001307007,1985/11/23,塑膠工業
1308,亞聚,TW0001308005,1986/6/20,塑膠工業
1309,台達化,TW0001309003,1986/6/27,塑膠工業
1310,台苯,TW0001310001,1987/8/6,塑膠工業
1312,國喬,TW0001312007,1988/12/21,塑膠工業
1313,聯成,TW0001313005,1989/3/27,塑膠工業
1314,中石化,TW0001314003,1991/7/12,塑膠工業
1315,達新,TW0001315000,1992/5/9,塑膠工業
1316,上曜,TW0001316008,1992/10/15,建材營造業
1319,東陽,TW0001319002,1994/12/12,汽車工業
1321,大洋,TW0001321008,1999/1/26,塑膠工業
1323,永裕,TW0001323004,2000/9/11,塑膠工業
1324,地球,TW0001324002,2000/9/11,塑膠工業
1325,恆大,TW0001325009,2000/9/11,塑膠工業
1326,台化,TW0001326007,1984/12/20,塑膠工業
1337,再生-KY,KYG0539R1039,2011/7/1,塑膠工業
1338,廣華-KY,KYG451001070,2012/12/19,汽車工業
1339,昭輝,TW0001339000,2012/4/24,汽車工業
1340,勝悅-KY,KYG935971054,2013/12/6,塑膠工業
1341,富林-KY,KYG3730M1050,2018/12/24,塑膠工業
1402,遠東新,TW0001402006,1967/4/14,紡織纖維
1409,新纖,TW0001409001,1973/8/31,紡織纖維
1410,南染,TW0001410009,1973/10/18,紡織纖維
1413,宏洲,TW0001413003,1975/12/23,紡織纖維
1414,東和,TW0001414001,1976/2/2,紡織纖維
1416,廣豐,TW0001416006,1976/4/20,紡織纖維
1417,嘉裕,TW0001417004,1976/12/28,紡織纖維
1418,東華,TW0001418002,1977/2/14,紡織纖維
1419,新紡,TW0001419000,1977/3/14,紡織纖維
1423,利華,TW0001423002,1979/4/2,紡織纖維
1432,大魯閣,TW0001432003,1982/7/26,貿易百貨業
1434,福懋,TW0001434009,1985/12/24,紡織纖維
1435,中福,TW0001435006,1987/12/28,其他業
1436,華友聯,TW0001436004,1988/4/11,建材營造業
1437,勤益控,TW0001437002,1988/11/10,其他業
1438,裕豐,TW0001438000,1988/12/15,建材營造業
1439,中和,TW0001439008,1989/5/22,紡織纖維
1440,南紡,TW0001440006,1989/10/3,紡織纖維
1441,大東,TW0001441004,1989/10/27,紡織纖維
1442,名軒,TW0001442002,1989/11/16,建材營造業
1443,立益,TW0001443000,1990/4/21,紡織纖維
1444,力麗,TW0001444008,1990/8/8,紡織纖維
1445,大宇,TW0001445005,1991/2/5,紡織纖維
1446,宏和,TW0001446003,1991/10/15,紡織纖維
1447,力鵬,TW0001447001,1992/1/28,紡織纖維
1449,佳和,TW0001449007,1992/3/12,紡織纖維
1451,年興,TW0001451003,1992/12/21,紡織纖維
1452,宏益,TW0001452001,1992/12/28,紡織纖維
1453,大將,TW0001453009,1993/4/19,紡織纖維
1454,台富,TW0001454007,1993/5/7,紡織纖維
1455,集盛,TW0001455004,1993/10/7,紡織纖維
1456,怡華,TW0001456002,1993/12/9,紡織纖維
1457,宜進,TW0001457000,1994/10/20,紡織纖維
1459,聯發,TW0001459006,1994/10/26,紡織纖維
1460,宏遠,TW0001460004,1995/4/28,紡織纖維
1463,強盛,TW0001463008,1996/12/5,紡織纖維
1464,得力,TW0001464006,1997/1/18,紡織纖維
1465,偉全,TW0001465003,1997/9/8,紡織纖維
1466,聚隆,TW0001466001,1998/4/4,紡織纖維
1467,南緯,TW0001467009,1998/12/21,紡織纖維
1468,昶和,TW0001468007,1999/1/21,紡織纖維
